No.,Course,Course Name,Credits,Instructor,Room,Days,Start Time,End Time,Max Enrollment,Total Enrollment
158,GED101LecE-501,Applications Of Computer Software,3,"IP, IP",e-Business Computer Lab,W,3:00:00 PM,4:59:00 PM,24,1
,,,,"IP, IP",MGT-104,R,7:00:00 PM,8:59:00 PM,24,1
159,GED101LecE-502,Applications Of Computer Software,3,"IP, IP",e-Business Computer Lab,M,7:00:00 PM,8:59:00 PM,24,3
,,,,"IP, IP",MGT-104,R,7:00:00 PM,8:59:00 PM,24,3
160,GED110LecE-101,Modern Art Appreciation,3,"IP, IP",MGT-204,M,11:00:00 AM,12:59:00 PM,18,3
,,,,"IP, IP",HUB-125,T,7:00:00 PM,8:59:00 PM,18,3
161,GED110LecE-102,Modern Art Appreciation,3,"IP, IP",MGT-204,M,11:00:00 AM,12:59:00 PM,18,4
,,,,"IP, IP",HUB-125,T,5:00:00 PM,6:59:00 PM,18,4
162,GED110LecE-201,Modern Art Appreciation,3,"IP, IP",MGT-101,T,1:00:00 PM,2:59:00 PM,18,3
,,,,"IP, IP",HUB-125,W,7:00:00 PM,8:59:00 PM,18,3
163,GED110LecE-202,Modern Art Appreciation,3,"IP, IP",MGT-101,T,1:00:00 PM,2:59:00 PM,18,9
,,,,"IP, IP",HUB-125,W,5:00:00 PM,6:59:00 PM,18,9
